City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,remire-montjoly,4.9167,-52.2667,306.17,62,75,5.66,GF,1728571392
257,canutama,-6.5339,-64.3831,305.09,51,100,1.01,BR,1728571394
258,rundu,-17.9333,19.7667,309.11,7,4,5.18,NA,1728571396
259,khandud,36.9513,72.318,281.31,52,90,2.81,AF,1728571398
260,porto seguro,-16.4497,-39.0647,300.44,78,75,5.66,BR,1728571203
261,kingston,17.997,-76.7936,305.46,66,20,3.6,JM,1728571290
262,leskovac,42.9981,21.9461,296.65,57,9,2.88,RS,1728571402
263,klyuchi,52.2667,79.1667,281.4,40,100,6.62,RU,1728571404
264,queenstown,-31.8976,26.8753,305.57,12,80,8.15,ZA,1728571405
265,fedorovka,53.6314,62.7078,277.07,72,100,9.62,KZ,1728571407
266,tombodu,8.1333,-10.6167,301.57,71,91,1.24,SL,1728571408
267,dhidhdhoo,6.8833,73.1,300.28,83,100,10.69,MV,1728571409
268,amboasary,-25.0333,46.3833,299.03,60,0,6.0,MG,1728571411
269,staphorst,52.645,6.2111,285.93,67,86,5.37,NL,1728571412
270,san martin,-33.081,-68.4681,291.27,59,0,5.17,AR,1728571413
271,punta arenas,-53.15,-70.9167,282.21,57,40,11.32,CL,1728571415
272,kidal,18.4411,1.4078,313.18,8,47,6.33,ML,1728571416
273,eufaula,31.8913,-85.1455,293.11,68,0,3.09,US,1728571417
274,tarariras,-34.2833,-57.6167,291.66,72,100,3.46,UY,1728571419
275,bubaque,11.2833,-15.8333,298.13,84,100,7.33,GW,1728571420
276,ranau,5.9538,116.6641,294.55,98,15,0.49,MY,1728571421
277,al jawf,29.5,38.75,303.01,18,0,3.65,SA,1728571423
278,baotou,40.6522,109.8222,286.6,33,0,1.38,CN,1728571424
279,aliade,7.2964,8.487,302.7,67,73,1.94,NG,1728571425
280,margate,51.3813,1.3862,284.19,69,100,0.89,GB,1728571427
281,yoloten,37.2989,62.3597,297.81,22,27,3.65,TM,1728571428
282,gassol,8.5333,10.4667,304.81,59,47,1.66,NG,1728571429
283,isafjordur,66.0755,-23.124,274.17,86,100,4.63,IS,1728571431
284,ghiror,27.1833,78.8,301.3,46,100,3.3,IN,1728571432
285,touros,-5.1989,-35.4608,302.04,57,74,6.72,BR,1728571433
286,singkil,-7.9855,111.4161,300.1,72,69,1.53,ID,1728571435
287,lekki,6.3607,4.8333,302.29,75,74,2.28,NG,1728571436
288,at taj,24.2049,23.2857,307.35,15,0,4.74,LY,1728571437
289,pangody,65.85,74.4859,270.81,78,83,7.19,RU,1728571439
290,tataouine,32.9297,10.4518,310.5,15,0,7.69,TN,1728571440
291,imbituba,-28.24,-48.6703,290.33,92,100,6.71,BR,1728571179
292,puerto aysen,-45.4,-72.7,282.37,82,99,2.32,CL,1728571443
293,kauhava,63.103,23.0713,284.66,94,100,5.01,FI,1728571444
294,quellon,-43.1167,-73.6167,282.13,89,100,2.14,CL,1728571445
295,sao gabriel da cachoeira,-0.1303,-67.0892,301.04,78,20,1.54,BR,1728571448
296,okhotsk,59.3833,143.3,276.53,79,93,5.05,RU,1728571450
297,ponta delgada,37.7333,-25.6667,296.55,83,40,12.35,PT,1728571451
298,tiksi,71.6872,128.8694,264.64,94,97,2.32,RU,1728571452
299,as sulayyil,20.4607,45.5779,305.19,13,0,3.69,SA,1728571453
300,karratha,-20.7377,116.8463,302.32,34,25,4.41,AU,1728571455
